Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
1,49157,3786815,940.1040188126,3.1688899511,325.0833333333
0,443,3999100,1566.6024855593,9.502137981,180.1578947368
1,49157,3665027,971.3434580427,3.2741914316,325.0833333333
0,443,4311566,1491.3374861941,8.8135030288,184.5
1,49157,4104032,867.4396301004,2.9239538093,325.0833333333
0,443,3771731,1661.0410445496,10.3400799262,175.5384615385
1,49157,3643018,977.2117513556,3.2939721956,325.0833333333
0,443,3946156,1587.6209658209,9.6296243737,180.1578947368
1,49157,3802416,936.2468493716,3.1558882563,325.0833333333
0,443,4009797,1562.4232348919,9.2273997911,185.027027027
1,49157,3811564,933.999796409,3.1483139205,325.0833333333
0,443,3901662,1605.7259701122,9.4831382114,185.027027027
1,49157,3625620,981.901026583,3.3097787413,325.0833333333
0,443,4073527,1537.9792499227,9.0830378687,185.027027027
1,49157,3757472,947.4455165601,3.1936365727,325.0833333333
0,443,3915084,1600.221093596,9.4506273684,185.027027027
1,49157,3663442,971.7637129235,3.2756080211,325.0833333333
0,443,5832334,1246.8421733049,7.3726916188,182.6279069767
1,49157,5379390,661.7850722851,2.2307361987,325.0833333333
0,443,3810027,1135.4250245471,6.2991679587,204.4583333333
1,49157,610486,2915.7097787664,9.8282352093,353.5
0,443,3252993,1925.9186847313,12.2963682984,156.625
1,49157,3008944,1183.1393339324,3.9881101144,325.0833333333
0,443,3944392,1588.3309772457,9.6339309075,180.1578947368
1,49157,3842903,926.3829974371,3.1226393172,325.0833333333
0,443,4302740,1456.0489362592,8.5991716906,185.027027027
1,49157,3785019,940.5501002769,3.1703935964,325.0833333333
0,443,4032469,1553.638726051,9.1755200102,185.027027027
1,49157,3772630,943.6387877953,3.1808049027,325.0833333333
0,443,4780369,1310.5682845822,8.1583660174,175.5384615385
1,49157,4505788,790.0948735271,2.6632411467,325.0833333333
0,443,5256041,1383.5508512966,8.3713197823,165.2727272727
1,49157,3663179,971.8334812468,3.2758431952,325.0833333333
0,443,3980662,1573.8588204676,9.2949363699,185.027027027
1,443,3974036,895.8147334347,3.5228669292,254.2857142857
0,443,3685298,1699.9982091001,10.3112421302,180.1578947368
1,443,4002072,889.5392186847,3.4981879386,254.2857142857
0,443,4243842,1476.2566561149,9.1897860476,175.5384615385
1,49157,3891483,914.8183353236,3.0836573101,325.0833333333
0,443,8321509,963.5271679692,5.6480140801,182.9574468085
1,49157,6787771,524.4726140584,1.7678852159,325.0833333333
0,443,4993876,1456.183533592,8.8107914574,178.4772727273
1,49157,3830370,929.4141297055,3.132856617,325.0833333333
0,443,3718116,1684.993152446,10.4891832315,175.5384615385
1,49157,3581625,993.9622378111,3.3504345095,325.0833333333
0,443,4930993,1303.9969839746,7.9091574456,179.7692307692
1,49157,4707701,756.2077540608,2.5490149013,325.0833333333
0,443,5254240,1192.370352325,7.6128992966,156.625
1,49157,3602505,988.2012655083,3.3310155017,325.0833333333
2,67,9114,93921.4395435594,219.442615756,582
0,443,2647068,2366.7695729766,13.9777293216,185.027027027
1,49157,2387486,1491.108220111,5.0262074835,325.0833333333
0,443,5601062,1145.1399752404,6.7844276675,184.0789473684
1,49157,5344898,666.0557413818,2.2451317125,325.0833333333
0,443,7260003,965.7020802884,5.5096395966,189.8
1,49157,6825034,521.6091231194,1.7582329993,325.0833333333
0,443,4002031,1565.4551401526,9.7450519499,175.5384615385
1,49157,3684446,966.2239587716,3.2569346925,325.0833333333
0,443,3220903,1945.106698339,12.1084056241,175.5384615385
1,49157,3079078,1156.1902621499,3.8972705466,325.0833333333
0,443,3818202,1640.824660403,9.9523283472,180.1578947368
