Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
1,49157,3864560,921.191545738713,3.10514004181589,325.083333333333
0,443,4205004,1489.89156728507,9.03685228361257,180.157894736842
1,49157,3877015,918.232196677083,3.09516470790028,325.083333333333
0,443,4831478,1296.70465228239,7.86508807449811,180.157894736842
1,49157,4377407,813.26684952987,2.74134893099956,325.083333333333
0,443,4273964,1465.85230947196,9.12501836702415,175.538461538462
1,49157,3933684,905.004062349696,3.05057549106639,325.083333333333
0,443,4321529,1449.71837513991,8.79318407906091,180.157894736842
1,49157,4119925,864.093399758491,2.9126743812084,325.083333333333
0,443,4489791,1395.38789222037,8.46364563517545,180.157894736842
1,49157,4223088,842.985038436329,2.84152260147077,325.083333333333
0,443,4222830,1483.60222883706,9.23551267751721,175.538461538462
1,49157,3846115,925.609348654421,3.12003151231827,325.083333333333
0,443,4758091,1316.70453549543,8.40673286828688,156.625
1,443,4424489,804.612690866674,3.16420721127344,254.285714285714
0,443,4226427,1482.33957430236,9.22765257746082,175.538461538462
1,49157,3864908,921.108600773938,3.10486045204698,325.083333333333
0,443,5463006,1146.80452483486,7.13892681062404,175.538461538462
1,49157,5292641,672.632056472374,2.26729906676081,325.083333333333
0,443,4010537,1562.13494601845,9.72438354265277,175.538461538462
1,49157,3901033,912.578796436739,3.07610830259575,325.083333333333
0,443,4112508,1523.40129186375,8.99694298467018,185.027027027027
1,49157,3883183,916.773687977105,3.09024838643968,325.083333333333
0,443,4039053,1551.10616275647,9.16056313200149,185.027027027027
1,49157,3829268,929.681599720887,3.13375820130636,325.083333333333
0,443,4044178,1549.14051755388,9.39622341054227,180.157894736842
1,49157,3898664,913.133319516634,3.07797748151675,325.083333333333
0,443,4089398,1532.01033501753,9.29232126586847,180.157894736842
1,49157,3792938,938.586393977439,3.16377436172171,325.083333333333
0,443,6077857,1055.30617123766,6.25220369613829,184.078947368421
1,49157,4124608,863.112324856083,2.90936738715534,325.083333333333
0,443,7639823,778.944747803712,4.31947179928121,197.939393939394
1,49157,5323401,647.706231411085,2.25419802115227,315.75
0,443,2526491,2479.72385415187,14.6448176542089,185.027027027027
1,49157,2350241,1514.73827577682,5.10585935655109,325.083333333333
0,443,3383067,1851.86991567119,11.5280010712173,175.538461538462
1,49157,3079058,1156.19777217578,3.89729586126666,325.083333333333
0,443,3750247,1670.5566326698,10.1326659284042,180.157894736842
1,49157,3439666,1034.98421067627,3.48871082250428,325.083333333333
